damageDealt	headshotKills	heals	killPlace	killPoints	kills	killStreaks	longestKill	matchDuration	matchType	numGroups	rankPoints	revives	rideDistance	roadKills	swimDistance	winPoints	winPlacePerc
0	0	0	60	1241	0	0	0	1306	3	26	-1	0	0	0	0	1466	0.4444
91.47	0	0	57	0	0	0	0	1777	3	25	1484	0	0.0045	0	11.04	0	0.64
68	0	0	47	0	0	0	0	1318	2	47	1491	0	0	0	0	0	0.7755
32.9	0	0	75	0	0	0	0	1436	3	30	1408	0	0	0	0	0	0.1667
100	0	0	45	0	1	1	58.53	1424	1	95	1560	0	0	0	0	0	0.1875
100	1	0	44	0	1	1	18.44	1395	3	28	1418	0	0	0	0	0	0.037
0	0	0	96	1262	0	0	0	1316	3	28	-1	0	0	0	0	1497	0
8.538	0	0	48	1000	0	0	0	1967	1	92	-1	0	2004	0	0	1500	0.7368
51.6	0	0	64	0	0	0	0	1375	3	27	1493	0	0	0	0	0	0.3704
37.27	0	0	74	0	0	0	0	1930	3	27	1349	0	0	0	0	0	0.2143
28.38	0	0	75	0	0	0	0	1811	3	29	1475	0	0	0	0	0	0.3929
137.9	0	0	64	0	0	0	0	1384	2	46	1488	0	0	0	0	0	0.4043
0	0	0	37	0	0	0	0	1774	3	28	1766	0	6639	0	0	0	0.9286
324.2	1	5	5	986	4	1	49.83	1886	1	94	-1	0	1228	0	76.84	1462	0.875
122.8	0	2	25	1411	1	1	37.91	1458	3	30	-1	1	1237	0	60.29	1531	0.9
80.71	0	0	72	0	0	0	0	1313	2	48	1495	1	0	0	0	0	0.2766
81.71	0	14	25	0	1	1	9.158	1882	3	26	1436	0	519.9	0	0	0	0.7308
254.3	0	12	13	0	2	1	36	1371	1	95	1536	0	2367	0	15.29	0	0.8211
0	0	0	79	0	0	0	0	1301	3	26	1355	0	0	0	0	0	0.1923
65.28	0	1	48	1349	0	0	0	1322	3	28	0	0	0	0	20.85	1479	0.931
269.1	1	8	18	0	2	1	7.438	1890	2	48	1491	1	2734	0	0	0	0.6383
158.7	0	0	75	0	0	0	0	1853	3	28	1522	0	0	0	0	0	0.2143
192.3	2	3	15	1022	2	1	280.6	1775	2	48	-1	0	2332	0	0	1494	0.75
1011	2	2	2	1564	9	2	186.6	1857	2	45	-1	0	4860	0	0	1603	0.9592
327.6	1	1	3	1346	4	2	167.8	1454	3	27	-1	0	0	0	0	1496	0.9231
558.6	0	4	11	1265	3	2	237.5	1841	2	45	-1	0	1183	0	0	1494	0.8696
44.28	0	0	78	0	0	0	0	1879	3	25	1576	0	0	0	0	0	0.1154
381.2	1	2	7	0	4	2	42.13	1896	2	46	1461	0	1798	0	0	0	0.7234
345.6	1	1	6	0	4	1	105.2	1339	3	28	1339	0	0	0	0	0	0.963
0	0	0	87	0	0	0	0	1530	2	44	1534	0	0	0	0	0	0
36.73	0	0	62	0	0	0	0	1901	2	45	1505	0	0	0	0	0	0.4255
0	0	0	80	0	0	0	0	1371	3	31	1438	0	0	0	0	0	0.0667
0	0	1	61	0	0	0	0	1913	2	46	1495	0	1154	0	0	0	0.5
65.47	0	2	61	1095	0	0	0	1348	3	26	-1	3	0	0	0	1459	0.52
439.9	0	1	34	0	1	1	11.36	1905	3	26	1518	0	0	0	0	0	0.2222
136.9	0	0	37	0	1	1	22.83	1425	1	94	1500	0	0	0	0	0	0.3474
100	0	0	24	0	1	1	21.25	1398	1	89	1509	0	0	0	61	0	0.8462
0	0	0	82	1046	0	0	0	1518	2	44	0	0	0	0	0	1501	0.0889
318	0	0	5	0	4	2	103.6	1365	2	45	1687	0	0	0	0	0	0.7021
177.8	0	0	73	0	0	0	0	1222	3	27	1448	0	0	0	0	0	0.1481
61.9	0	1	31	0	1	1	48.42	1303	3	25	1472	0	529.1	0	0	0	0.32
0	0	0	86	1119	0	0	0	1843	2	44	-1	0	0	0	0	1471	0.0217
245.6	1	0	46	0	1	1	6.779	1813	3	29	1506	0	0	0	0	0	0.0357
529.3	0	0	12	1717	3	2	20.1	1367	2	48	-1	0	0	0	0	1490	0.3958
401.2	0	6	27	1212	1	1	16.19	1905	2	47	-1	1	0	0	0	1492	0.7872
395.2	1	2	13	0	2	1	22.12	1449	3	25	1463	0	0	0	0	0	0.8077
0	0	0	77	1465	0	0	0	1352	3	27	-1	0	0	0	0	1495	0.1786
0	0	0	79	1206	0	0	0	1391	2	44	-1	0	0	0	0	1524	0.125
194.5	1	1	19	0	2	1	29.08	2067	1	94	1460	0	0	0	0	0	0.2947
279	0	1	10	0	3	1	40.19	1909	3	28	1399	1	0	0	0	0	0.3571
35.87	0	1	63	0	0	0	0	1815	3	30	1460	0	0	0	0	0	0.5
0	0	0	67	1341	0	0	0	1355	3	29	-1	0	0	0	0	1587	0.3793
97.57	0	0	36	0	1	1	150.7	1767	3	28	1418	0	0	0	0	0	0.25
52.7	0	0	37	1150	1	1	54.31	1343	2	44	-1	0	0	0	0	1431	0.2174
23.22	0	1	47	1208	0	0	0	1867	3	28	-1	1	1702	0	111.8	1565	0.8214
560.8	2	9	4	1355	5	2	28.48	1374	3	26	-1	0	0	0	0	1534	0.64
218.8	2	3	6	0	4	1	86.24	1423	3	28	1434	0	0	0	0	0	0.8929
81	0	1	29	0	1	1	20.13	1357	3	30	1327	0	0	0	0	0	0.5517
133.1	0	1	47	1358	1	1	7.093	1196	3	27	0	0	0	0	0	1454	0.1111
100	1	2	29	0	1	1	21.86	1959	1	93	1698	0	0	0	0	0	0.6809
170	1	4	16	0	2	2	80.31	1327	3	26	1448	0	0	0	0	0	0.72
135.2	0	4	8	0	3	1	128.4	1289	2	42	1544	0	0	0	0	0	0.9091
100	0	0	41	1272	1	1	3.55	1278	3	27	-1	0	0	0	0	1514	0
17.81	0	0	79	1274	0	0	0	1945	1	95	-1	0	129.3	0	0	1536	0.2245
87.39	1	0	21	0	2	2	13.17	1388	2	44	1514	1	0	0	20.11	0	0.4468
192.5	0	8	27	1125	1	1	55.1	1739	3	23	-1	0	4.268	0	0	1374	0.5417
467.8	1	6	2	0	5	1	70.94	1308	3	28	1526	0	0	0	0	0	0.963
378.8	3	6	4	0	4	2	61.39	1297	3	28	1431	0	317.7	0	0	0	1
30.1	0	0	77	0	0	0	0	1192	2	49	1515	0	0	0	0	0	0.1875
100	0	0	38	1000	1	1	7.667	2042	1	86	-1	0	0	0	0	1500	0.1573
100	0	0	55	0	0	0	0	2048	2	44	1497	0	0	0	0	0	0.617
408	0	0	5	1076	4	2	9.437	1404	3	31	-1	0	0	0	226	1471	0.7667
0	0	13	49	0	0	0	0	1358	3	30	1531	0	0	0	0	0	0.9655
146.5	1	3	12	0	2	1	169.9	1827	3	28	1499	2	0	0	0	0	0.8571
0	0	0	91	0	0	0	0	1376	3	25	1401	0	0	0	0	0	0
164.8	0	9	54	0	0	0	0	1867	2	44	1442	0	5271	0	9.096	0	0.6522
83.08	0	1	40	0	1	1	21.94	1350	3	29	1388	0	0	0	0	0	0.2857
243.1	1	1	29	0	1	1	176	1892	2	45	1488	0	0	0	0	0	0.7609
42.57	0	0	86	0	0	0	0	1372	3	27	1510	0	0	0	0	0	0.0769
